method,relaxations,time
Djikstra,919853,0.29406708
Djikstra,684211,0.17649461
Djikstra,33997,0.010056679
Djikstra,904968,0.19383413
Djikstra,20652,0.005051726
Djikstra,932466,0.16032438
Djikstra,95844,0.016497029
Djikstra,29610,0.005956184
Djikstra,283093,0.049508736
Djikstra,943621,0.15493529
Djikstra,406042,0.08578261
Djikstra,935057,0.18368551
Djikstra,657930,0.1557077
Djikstra,383465,0.078165054
Djikstra,1036330,0.19158536
Djikstra,183064,0.03409848
Djikstra,1140229,0.18971427
Djikstra,553911,0.104195744
Djikstra,754362,0.13808884
Djikstra,569206,0.09278527
Djikstra,231221,0.038851783
Djikstra,589208,0.16175504
Djikstra,599175,0.11512266
Djikstra,823785,0.1399566
Djikstra,6167,0.001922305
Djikstra,895890,0.16799398
Djikstra,1075629,0.17512776
Djikstra,573068,0.11211935
Djikstra,339797,0.065134056
Djikstra,985615,0.16136152
Djikstra,571889,0.098230846
Djikstra,397434,0.055877425
Djikstra,30186,0.005226967
Djikstra,814044,0.13645272
Djikstra,870817,0.16996777
Djikstra,496894,0.07624826
Djikstra,930203,0.1418594
Djikstra,708040,0.110180944
Djikstra,170057,0.040809125
Djikstra,1113456,0.22518744
Djikstra,980709,0.21498804
Djikstra,738851,0.122488506
Djikstra,1058716,0.19925715
Djikstra,770972,0.1376501
Djikstra,673605,0.11075437
Djikstra,276128,0.043612495
Djikstra,751005,0.12992223
Djikstra,758234,0.14565364
Djikstra,302985,0.055800594
Djikstra,1076888,0.20828547
Djikstra,647803,0.09327769
Djikstra,81536,0.015304054
Djikstra,543803,0.09119159
Djikstra,136607,0.019997625
Djikstra,790956,0.12782846
Djikstra,1009039,0.14831114
Djikstra,839909,0.13683182
Djikstra,117079,0.024452163
Djikstra,239437,0.059001077
Djikstra,30980,0.014399905
Djikstra,897607,0.1875275
Djikstra,1055217,0.17675477
Djikstra,39391,0.00729332
Djikstra,847612,0.14045277
Djikstra,478229,0.07645304
Djikstra,264609,0.04014338
Djikstra,310886,0.060574967
Djikstra,824667,0.18877739
Djikstra,697615,0.122756295
Djikstra,686178,0.09802422
Djikstra,158333,0.023473863
Djikstra,733741,0.11189792
Djikstra,323434,0.054894794
Djikstra,820972,0.14403205
Djikstra,298901,0.045450535
Djikstra,298424,0.06420153
Djikstra,103583,0.01601517
Djikstra,798106,0.107501395
Djikstra,838073,0.13191336
Djikstra,112845,0.016988732
Djikstra,570303,0.09417563
Djikstra,311238,0.044976
Djikstra,540912,0.09010665
Djikstra,795159,0.1686268
Djikstra,163009,0.030005556
Djikstra,56133,0.008115812
Djikstra,864060,0.13571274
Djikstra,839179,0.13464604
Djikstra,1061964,0.18920757
Djikstra,518491,0.08449234
Djikstra,373745,0.05932176
Djikstra,34841,0.005406063
Djikstra,651799,0.098706275
Djikstra,600057,0.09465281
Djikstra,695168,0.16405548
Djikstra,249921,0.04195389
Djikstra,306850,0.053213593
Djikstra,535911,0.118586846
Djikstra,835815,0.13994843
Djikstra,472763,0.07867158
Djikstra,795293,0.12674367
Djikstra,320585,0.059361663
Djikstra,809842,0.125968
Djikstra,1000842,0.16774055
Djikstra,298475,0.06362637
Djikstra,994628,0.165027
Djikstra,1064627,0.15547939
Djikstra,901063,0.144142
Djikstra,791104,0.13784775
Djikstra,530944,0.0856089
Djikstra,159953,0.020943953
Djikstra,898929,0.1526737
Djikstra,210206,0.03580148
Djikstra,419944,0.09228127
Djikstra,977970,0.15215074
Djikstra,83335,0.013198692
Djikstra,676224,0.11187659
Djikstra,182820,0.02953566
Djikstra,51340,0.008742846
Djikstra,719659,0.13450256
Djikstra,277458,0.056288466
Djikstra,518319,0.108988166
Djikstra,1067620,0.19027166
Djikstra,659063,0.14793453
Djikstra,465442,0.10001242
Djikstra,1131107,0.22201578
Djikstra,262968,0.04353157
Djikstra,1019218,0.16922581
Djikstra,441511,0.06402557
Djikstra,95225,0.014090635
Djikstra,492936,0.0825086
Djikstra,68690,0.012694861
Djikstra,682034,0.104050554
Djikstra,497002,0.07936634
Djikstra,169786,0.029632404
Djikstra,445999,0.07189853
Djikstra,1141644,0.17737012
Djikstra,49056,0.008658435
Djikstra,707857,0.11913591
Djikstra,972931,0.18293071
Djikstra,1122544,0.19432859
Djikstra,368964,0.059325263
Djikstra,1035591,0.18817648
Djikstra,958254,0.1562931
Djikstra,120349,0.02075157
Djikstra,641230,0.1556478
Djikstra,401836,0.06576296
Djikstra,203983,0.030531354
Djikstra,245841,0.03840484
Djikstra,830318,0.15378632
Djikstra,1006994,0.22208758
Djikstra,722352,0.108022414
Djikstra,1089160,0.16224426
Djikstra,1119987,0.17519505
Djikstra,514198,0.08177083
Djikstra,624317,0.10445645
Djikstra,905786,0.15149313
Djikstra,59188,0.012521958
Djikstra,216786,0.03711099
Djikstra,817799,0.13478938
Djikstra,971343,0.15242317
Djikstra,598229,0.096817225
Djikstra,487913,0.07834169
Djikstra,427854,0.06226554
Djikstra,524210,0.09273101
Djikstra,342856,0.065523505
Djikstra,425960,0.06997917
Djikstra,204193,0.03338675
Djikstra,572698,0.0889741
Djikstra,366779,0.086384565
Djikstra,83770,0.0314514
Djikstra,3172,0.001916098
Djikstra,641264,0.11004071
Djikstra,790699,0.13589501
Djikstra,1123420,0.17902434
Djikstra,896697,0.17644282
Djikstra,718400,0.14974803
Djikstra,630339,0.118821785
Djikstra,390652,0.08503903
Djikstra,1119818,0.2054701
Djikstra,456082,0.095086336
Djikstra,772423,0.15227254
Djikstra,775221,0.1839933
Djikstra,1065698,0.18208563
Djikstra,886010,0.13842615
Djikstra,10191,0.002375332
Djikstra,211671,0.031330604
Djikstra,529720,0.08785916
Djikstra,678650,0.10023808
Djikstra,352460,0.054014377
Djikstra,364502,0.059503343
Djikstra,1167869,0.18962932
Djikstra,467151,0.08522232
Djikstra,1118246,0.22310196
Djikstra,597106,0.096342795
Djikstra,271360,0.041530468
Djikstra,698311,0.11931071
Djikstra,281455,0.06153486
Djikstra,1115283,0.15849312
Djikstra,1031657,0.16691074
Djikstra,644396,0.10213758
Djikstra,928491,0.1621422
Djikstra,1159885,0.20976987
Djikstra,545166,0.086742096
Djikstra,45630,0.006845281
Djikstra,1108593,0.1818017
Djikstra,162735,0.037574776
Djikstra,262365,0.053351954
Djikstra,595689,0.12759422
Djikstra,595055,0.12163749
Djikstra,810377,0.15455252
Djikstra,504575,0.116660744
Djikstra,846935,0.15225357
Djikstra,1077063,0.23418705
Djikstra,407076,0.069080606
Djikstra,1059039,0.15738602
Djikstra,176599,0.02528254
Djikstra,1092897,0.18674032
Djikstra,879881,0.14518759
Djikstra,529703,0.07313945
Djikstra,843688,0.14612955
Djikstra,966155,0.15134466
Djikstra,113291,0.018241482
Djikstra,866051,0.13140121
Djikstra,300503,0.06442901
Djikstra,450429,0.06857971
Djikstra,347524,0.058725007
Djikstra,716098,0.1030168
Djikstra,380263,0.06683634
Djikstra,891491,0.15966292
Djikstra,504787,0.07453496
Djikstra,1066799,0.17979781
Djikstra,681128,0.09662627
Djikstra,637944,0.0986919
Djikstra,236477,0.06113438
Djikstra,843712,0.13817655
Djikstra,404167,0.07282373
Djikstra,1008736,0.24489544
Djikstra,166801,0.030328045
Djikstra,1152998,0.2322037
Djikstra,849874,0.14532013
Djikstra,1147726,0.18889193
Djikstra,303163,0.05422137
Djikstra,562738,0.0942043
Djikstra,1153514,0.20169738
Djikstra,594016,0.098354615
Djikstra,1124582,0.19751401
Djikstra,798480,0.13634029
Djikstra,535647,0.082838975
Djikstra,898038,0.15048736
Djikstra,915699,0.13424243
Djikstra,1037837,0.15878649
Djikstra,168555,0.023122504
Djikstra,624936,0.097777314
Djikstra,299393,0.04619737
Djikstra,193396,0.033375237
Djikstra,953264,0.17124076
Djikstra,543760,0.08820507
Djikstra,230789,0.040639695
Djikstra,831000,0.1292485
Djikstra,381467,0.074370295
Djikstra,112747,0.025759919
Djikstra,1013921,0.2079383
Djikstra,488360,0.09441344
Djikstra,792822,0.12679793
Djikstra,1045411,0.16857846
Djikstra,913364,0.14752768
Djikstra,911993,0.14538492
Djikstra,312184,0.053886555
Djikstra,230011,0.034040667
Djikstra,649067,0.09675718
Djikstra,948949,0.14986978
Djikstra,473151,0.08732421
Djikstra,655544,0.09516588
Djikstra,354747,0.05588408
Djikstra,273196,0.042049844
Djikstra,29932,0.004816132
Djikstra,111342,0.017546952
Djikstra,1099515,0.17729683
Djikstra,340986,0.05442638
Djikstra,757215,0.1278522
Djikstra,517877,0.08760336
Djikstra,644040,0.12655835
Djikstra,109376,0.018020712
Djikstra,91631,0.016040497
Djikstra,427428,0.091998205
Djikstra,524630,0.10912111
Djikstra,277556,0.0553458
Djikstra,74398,0.012334735
Djikstra,691156,0.10450415
Djikstra,1006411,0.18296978
Djikstra,569079,0.11298444
Djikstra,538293,0.09599581
Djikstra,201176,0.047107365
Djikstra,913790,0.17094675
Djikstra,602322,0.1264874
Djikstra,1069574,0.18284854
Djikstra,924928,0.18701608
Djikstra,152502,0.02212237
Djikstra,281726,0.045739736
Djikstra,882587,0.1407444
Djikstra,572883,0.11306719
Djikstra,1135994,0.19088647
Djikstra,369923,0.059627727
Djikstra,1136247,0.1804039
Djikstra,217272,0.03252838
Djikstra,1155680,0.19698347
Djikstra,673547,0.1183291
Djikstra,793009,0.14614981
Djikstra,832303,0.12170579
Djikstra,406193,0.06536739
Djikstra,592510,0.10298244
Djikstra,185469,0.027614864
Djikstra,263594,0.040916823
Djikstra,797088,0.1272694
Djikstra,894353,0.13704723
Djikstra,243221,0.053152133
Djikstra,62952,0.009667635
Djikstra,1026887,0.17547585
Djikstra,610348,0.10089755
Djikstra,527357,0.07292272
Djikstra,163560,0.029923184
Djikstra,868318,0.15874149
Djikstra,403835,0.10037225
Djikstra,44095,0.010348852
Djikstra,1017163,0.19329154
Djikstra,1005208,0.21558855
Djikstra,293961,0.04214548
Djikstra,362578,0.06541115
Djikstra,623786,0.11700114
Djikstra,51790,0.010689341
Djikstra,41364,0.008168254
Djikstra,61275,0.011283563
Djikstra,730290,0.13814312
Djikstra,982958,0.18452317
Djikstra,307425,0.066780545
Djikstra,648839,0.14113833
Djikstra,795967,0.13081029
Djikstra,1018657,0.16051044
Djikstra,1139151,0.17863943
Djikstra,175067,0.027799904
Djikstra,1101891,0.18928917
Djikstra,480336,0.06732444
Djikstra,370464,0.06308423
Djikstra,379131,0.060775835
Djikstra,667170,0.10096906
Djikstra,153572,0.025842676
Djikstra,667084,0.12161131
Djikstra,264463,0.03838825
Djikstra,394263,0.061738916
Djikstra,945169,0.14284126
Djikstra,645791,0.1032495
Djikstra,282621,0.06266459
Djikstra,747728,0.16264486
Djikstra,415268,0.09529296
Djikstra,107013,0.022893663
Djikstra,785516,0.14641315
Djikstra,871505,0.18903197
Djikstra,31317,0.006164751
Djikstra,907057,0.15086822
Djikstra,20528,0.003711402
Djikstra,592271,0.098545544
Djikstra,152602,0.027570603
Djikstra,496031,0.0797495
Djikstra,193730,0.026148
Djikstra,1081538,0.20082143
Djikstra,492332,0.090715505
Djikstra,550359,0.09177566
Djikstra,401299,0.06295574
Djikstra,60641,0.008987312
Djikstra,677650,0.11713591
Djikstra,115201,0.016071325
Djikstra,723974,0.124973886
Djikstra,407804,0.065743566
Djikstra,1128038,0.17987104
Djikstra,833705,0.13456164
Djikstra,597262,0.09682166
Djikstra,70151,0.027421393
Djikstra,137497,0.020840468
Djikstra,560711,0.08503566
Djikstra,1018919,0.16175158
Djikstra,597394,0.10409606
Djikstra,626425,0.10969367
Djikstra,517284,0.121621795
Djikstra,1139669,0.20146021
Djikstra,8124,0.011619858
Djikstra,247670,0.054600395
Djikstra,778247,0.16819519
Djikstra,262268,0.068028264
Djikstra,67513,0.013524381
Djikstra,253309,0.054530796
Djikstra,908562,0.17430262
Djikstra,184081,0.040648196
Djikstra,708272,0.15573874
Djikstra,371675,0.06583868
Djikstra,410000,0.08387076
Djikstra,757838,0.17343464
Djikstra,339432,0.06621662
Djikstra,538783,0.09987278
Djikstra,300979,0.056718435
Djikstra,596302,0.11027187
Djikstra,454677,0.09861454
Djikstra,828983,0.14823684
Djikstra,666395,0.12679088
Djikstra,281931,0.052449405
Djikstra,329785,0.05540291
Djikstra,163920,0.035686795
Djikstra,1076929,0.2417809
Djikstra,56295,0.016199417
Djikstra,508909,0.09695688
Djikstra,1120151,0.19621651
Djikstra,735471,0.14761388
Djikstra,879825,0.15469015
Djikstra,1070218,0.21966235
Djikstra,786530,0.1474971
Djikstra,985321,0.16816077
Djikstra,901655,0.19275595
Djikstra,471164,0.074008875
Djikstra,232199,0.050863773
Djikstra,110917,0.022369863
Djikstra,1062070,0.20616789
Djikstra,1002724,0.21314676
Djikstra,423328,0.06405868
Djikstra,26948,0.00825509
Djikstra,1055386,0.20583
Djikstra,491683,0.11969359
Djikstra,188072,0.037018158
Djikstra,467823,0.09149225
Djikstra,706361,0.16306426
Djikstra,319304,0.05029512
Djikstra,619637,0.09074405
Djikstra,934331,0.16503516
Djikstra,929292,0.21090752
Djikstra,989839,0.1692064
Djikstra,562731,0.09291613
Djikstra,808258,0.14162184
Djikstra,208219,0.040441584
Djikstra,1031385,0.16270079
Djikstra,1171361,0.20088768
Djikstra,376426,0.06545262
Djikstra,46732,0.008023587
Djikstra,616171,0.08445437
Djikstra,461288,0.064122334
Djikstra,1038436,0.182182
Djikstra,180046,0.027110692
Djikstra,780218,0.13933715
Djikstra,895223,0.15654337
Djikstra,1065575,0.18409169
Djikstra,955408,0.1565562
Djikstra,30400,0.005144835
Djikstra,678009,0.115203224
Djikstra,1045082,0.17516425
Djikstra,1087423,0.2149944
Djikstra,927655,0.15390629
Djikstra,942480,0.1506051
Djikstra,432527,0.07223796
