method,relaxations,time,distance
Dijkstra,106464197,0.1459046,7466.0

Dijkstra,106567733,0.0921604,7264.0

Dijkstra,106674796,0.0774219,4448.0

Dijkstra,107217517,0.4991492,13989.0

Dijkstra,107760116,0.3773931,21138.0

Dijkstra,107879604,0.0802447,5957.0

Dijkstra,108005367,0.0747022,4621.0

Dijkstra,108432781,0.2329228,13047.0

Dijkstra,108950496,0.4235835,18741.0

Dijkstra,109173940,0.158724,7048.0

Dijkstra,109474625,0.1627464,9007.0

Dijkstra,110028948,0.4023831,18759.0

Dijkstra,110472051,0.38798,10392.0

Dijkstra,110726794,0.1637394,8293.0

Dijkstra,111132636,0.2312306,13536.0

Dijkstra,111442620,0.244183,8932.0

Dijkstra,111566935,0.0864022,7488.0

Dijkstra,111766371,0.1390649,7521.0

Dijkstra,112130009,0.4256,7900.0

Dijkstra,112367846,0.2594504,6455.0

Dijkstra,112427775,0.0558085,4018.0

Dijkstra,112824661,0.3352957,9191.0

Dijkstra,113320505,0.59911,14560.0

Dijkstra,113534003,0.2588915,10835.0

Dijkstra,113847129,0.296025,9454.0

Dijkstra,114105580,0.2615031,8459.0

Dijkstra,114512964,0.2469708,16139.0

Dijkstra,114581446,0.0506122,2247.0

Dijkstra,115042817,0.3439573,10429.0

Dijkstra,115595221,0.5433187,14831.0

Dijkstra,115733188,0.0774741,6958.0

Dijkstra,116045842,0.1942482,10407.0

Dijkstra,116143758,0.0687508,4892.0

Dijkstra,116526357,0.2625039,13581.0

Dijkstra,116782921,0.1558946,6645.0

Dijkstra,117267959,0.2431365,15950.0

Dijkstra,117797817,0.3399964,14552.0

Dijkstra,118284509,0.3286019,13308.0

Dijkstra,118284878,0.0030859,382.0

Dijkstra,118564404,0.199836,11121.0

Dijkstra,118663958,0.0673395,4926.0

Dijkstra,118997696,0.2109426,14811.0

Dijkstra,119494620,0.3298038,16118.0

Dijkstra,119995598,0.2994508,16080.0

Dijkstra,120045713,0.0258069,2286.0

Dijkstra,120602504,0.3350322,12682.0

Dijkstra,120943969,0.205366,13051.0

Dijkstra,121313138,0.2123293,12474.0

Dijkstra,121484359,0.1341841,5343.0

Dijkstra,121940003,0.2513153,11839.0

Dijkstra,121976979,0.0205144,3379.0

Dijkstra,122534369,0.3159509,13770.0

Dijkstra,122617973,0.0476596,3390.0

Dijkstra,123109421,0.3096725,11030.0

Dijkstra,123622463,0.4167267,14362.0

Dijkstra,124006605,0.4948026,9734.0

Dijkstra,124168631,0.1359744,5211.0

Dijkstra,124401135,0.1469106,7819.0

Dijkstra,124693105,0.1954202,10362.0

Dijkstra,125262846,0.3141678,17418.0

Dijkstra,125550943,0.1457266,7198.0

Dijkstra,125796362,0.1028058,12066.0

Dijkstra,126131080,0.1602898,14095.0

Dijkstra,126304699,0.0740366,6413.0

Dijkstra,126511133,0.0936222,7451.0

Dijkstra,127047130,0.2539013,16867.0

Dijkstra,127617195,0.3042065,17082.0

Dijkstra,128033268,0.2032479,14679.0

Dijkstra,128435670,0.1727744,14868.0

Dijkstra,128902552,0.2043213,18128.0

Dijkstra,129099999,0.0796905,7401.0

Dijkstra,129533527,0.2012427,10627.0

Dijkstra,129646899,0.0508758,4578.0

Dijkstra,129849215,0.0905728,5296.0

Dijkstra,130017331,0.0734065,7971.0

Dijkstra,130324619,0.1394355,7386.0

Dijkstra,130775453,0.21558,19015.0

Dijkstra,130990684,0.1019309,8358.0

Dijkstra,131554090,0.2730695,13397.0

Dijkstra,131760935,0.0869313,7444.0

Dijkstra,132041596,0.1278786,6848.0

Dijkstra,132503795,0.2010269,16350.0

Dijkstra,132804670,0.1243964,13823.0

Dijkstra,133369648,0.2471812,23005.0

Dijkstra,133485191,0.0483615,4656.0

Dijkstra,134018176,0.2609308,11916.0

Dijkstra,134570521,0.3351594,18469.0

Dijkstra,134652256,0.0368887,2865.0

Dijkstra,134766539,0.04587,4478.0

Dijkstra,135220668,0.196842,15183.0

Dijkstra,135346952,0.0559512,3792.0

Dijkstra,135878439,0.2364599,15308.0

Dijkstra,136019575,0.0599477,5299.0

Dijkstra,136469672,0.215606,9648.0

Dijkstra,136804716,0.1889679,7773.0

Dijkstra,136821324,0.0073902,1119.0

Dijkstra,137264079,0.1835141,16557.0

Dijkstra,137274186,0.0069413,1110.0

Dijkstra,137731057,0.226376,12651.0

Dijkstra,137777950,0.0243074,3118.0

Dijkstra,137792522,0.0082909,1899.0

Dijkstra,137931217,0.090797,4751.0

Dijkstra,138393507,0.24722,15015.0

Dijkstra,138592348,0.0958163,9233.0

Dijkstra,139050416,0.2183601,14428.0

Dijkstra,139372573,0.1678768,10160.0

Dijkstra,139560295,0.0978894,5356.0

Dijkstra,140067809,0.2517665,20110.0

Dijkstra,140157420,0.0369153,2958.0

Dijkstra,140715378,0.296988,15120.0

Dijkstra,140986233,0.17156,6022.0

Dijkstra,141355132,0.1875116,11448.0

Dijkstra,141633715,0.164058,10759.0

Dijkstra,141746722,0.0696119,3382.0

Dijkstra,142035029,0.1870604,8564.0

Dijkstra,142328351,0.1553713,11003.0

Dijkstra,142731292,0.2476093,13246.0

Dijkstra,142734316,0.0044654,353.0

Dijkstra,143172448,0.3189888,10378.0

Dijkstra,143698903,0.3723329,14128.0

Dijkstra,143979474,0.1758997,8511.0

Dijkstra,144145597,0.0963953,4676.0

Dijkstra,144628353,0.2627515,17356.0

Dijkstra,144908280,0.2422322,5849.0

Dijkstra,145102878,0.1338182,8789.0

Dijkstra,145117607,0.0161929,2258.0

Dijkstra,145516088,0.3394818,12034.0

Dijkstra,145942730,0.3591946,9470.0

Dijkstra,146185899,0.1893992,10997.0

Dijkstra,146641619,0.3952798,19288.0

Dijkstra,146987940,0.3037345,15093.0

Dijkstra,147070791,0.0704669,2844.0

Dijkstra,147615694,0.5009581,17484.0

Dijkstra,148096184,0.483599,15556.0

Dijkstra,148457683,0.272644,8207.0

Dijkstra,148975982,0.3728935,22158.0

Dijkstra,149353240,0.2226177,7937.0

Dijkstra,149683208,0.2461189,9145.0

Dijkstra,149818557,0.1153823,3955.0

Dijkstra,150186062,0.3299879,9532.0

Dijkstra,150557122,0.3602637,8112.0

Dijkstra,150705368,0.1027095,4089.0

Dijkstra,151232315,0.348163,12903.0

Dijkstra,151549519,0.192205,13317.0

Dijkstra,151589506,0.0302788,4134.0

Dijkstra,151855464,0.174787,9536.0

Dijkstra,151922488,0.054362,4132.0

Dijkstra,152309847,0.4468956,11430.0

Dijkstra,152803787,0.3646733,17324.0

Dijkstra,153214664,0.232018,15044.0

Dijkstra,153271953,0.1291125,2716.0

Dijkstra,153389137,0.0879356,4962.0

Dijkstra,153404362,0.0115117,1247.0

Dijkstra,153844074,0.3265856,14778.0

Dijkstra,154360607,0.4329992,16293.0

Dijkstra,154380008,0.0163476,3888.0

Dijkstra,154794944,0.3704761,10136.0

Dijkstra,155028798,0.2314759,7521.0

Dijkstra,155158309,0.150447,4360.0

Dijkstra,155310680,0.1859474,4290.0

Dijkstra,155714736,0.4225077,9652.0

Dijkstra,156055835,0.4578334,8341.0

Dijkstra,156391633,0.313167,16147.0

Dijkstra,156469253,0.0754367,4659.0

Dijkstra,156828189,0.3991069,13199.0

Dijkstra,156986177,0.3363651,5199.0

Dijkstra,157388173,0.3813862,15009.0

Dijkstra,157534463,0.1617252,6427.0

Dijkstra,157680461,0.1358003,4503.0

Dijkstra,157731065,0.0351665,3021.0

Dijkstra,158121399,0.278316,15139.0

Dijkstra,158531695,0.2947022,13564.0

Dijkstra,158586865,0.0485747,3487.0

Dijkstra,158865959,0.2321352,6521.0

Dijkstra,159018318,0.0949718,6094.0

Dijkstra,159282902,0.3019957,6409.0

Dijkstra,159672021,0.4726999,10761.0

Dijkstra,159751206,0.0685179,2686.0

Dijkstra,159778761,0.0262058,1869.0

Dijkstra,160202028,0.3346511,13080.0

Dijkstra,160612832,0.3280232,14880.0

Dijkstra,161132670,0.4164473,19024.0

Dijkstra,161386416,0.4487473,9843.0

Dijkstra,161569453,0.1830504,4665.0

Dijkstra,161586581,0.0194305,2331.0

Dijkstra,161905684,0.3378583,13292.0

Dijkstra,162199514,0.2718043,11493.0

Dijkstra,162539893,0.3460928,9126.0

Dijkstra,162661965,0.103346,5892.0

Dijkstra,162812073,0.131629,6489.0

Dijkstra,163074409,0.3625442,8187.0

Dijkstra,163483173,0.3235922,18005.0

Dijkstra,163714452,0.2241256,6215.0

Dijkstra,164103828,0.4131025,12205.0

Dijkstra,164260776,0.1852087,10373.0

Dijkstra,164656868,0.3490145,15029.0

Dijkstra,165147015,0.3862371,10993.0

Dijkstra,165293128,0.1037498,4116.0

Dijkstra,165780349,0.3563094,20249.0

Dijkstra,166301395,0.4134577,18996.0

Dijkstra,166742174,0.3713324,12318.0

Dijkstra,167128987,0.2663994,8813.0

Dijkstra,167388922,0.1785195,6556.0

Dijkstra,167467063,0.0474787,2933.0

Dijkstra,167907380,0.2689822,15728.0

Dijkstra,168010238,0.0595771,4788.0

Dijkstra,168215457,0.1363021,4772.0

Dijkstra,168694003,0.2930816,15864.0

Dijkstra,168734809,0.0215773,3094.0

Dijkstra,169065584,0.2550834,10733.0

Dijkstra,169154989,0.1334664,3231.0

Dijkstra,169180232,0.0216434,4610.0

Dijkstra,169532358,0.3598183,7730.0

Dijkstra,169668189,0.1003675,3762.0

Dijkstra,169921933,0.2105802,8254.0

Dijkstra,170444432,0.3660621,18049.0

Dijkstra,170767020,0.2445322,9499.0

Dijkstra,170994727,0.3130828,6183.0

Dijkstra,171548384,0.528254,14278.0

Dijkstra,171677078,0.1223845,5825.0

Dijkstra,172176179,0.3839264,14582.0

Dijkstra,172392152,0.1484784,9982.0

Dijkstra,172438850,0.0340799,2976.0

Dijkstra,172679874,0.166379,8168.0

Dijkstra,172713394,0.0324463,2464.0

Dijkstra,173047106,0.2113585,13088.0

Dijkstra,173290399,0.1473041,10230.0

Dijkstra,173373580,0.0539627,4889.0

Dijkstra,173591637,0.2031681,4667.0

Dijkstra,174150449,0.404317,19975.0

Dijkstra,174174276,0.0325739,940.0

Dijkstra,174520623,0.314757,8849.0

Dijkstra,174997241,0.3605626,11667.0

Dijkstra,175546579,0.432974,13831.0

Dijkstra,175727193,0.1593527,6243.0

Dijkstra,176234025,0.5180646,17590.0

Dijkstra,176702932,0.3212118,14653.0

