method,relaxations,time
Dijkstra,199768552,0.1093094
Dijkstra,200181594,0.1779987
Dijkstra,200654912,0.1919384
Dijkstra,200710385,0.0229081
Dijkstra,201134030,0.1784774
Dijkstra,201281080,0.0634147
Dijkstra,201501419,0.0882494
Dijkstra,201671686,0.0931986
Dijkstra,202021977,0.1589441
Dijkstra,202208102,0.1022928
Dijkstra,202644751,0.2027381
Dijkstra,202891814,0.1022109
Dijkstra,203413894,0.2243489
Dijkstra,203747262,0.1383681
Dijkstra,204059450,0.1598581
Dijkstra,204175461,0.0508945
Dijkstra,204588448,0.169702
Dijkstra,204786007,0.0897274
Dijkstra,205279674,0.215889
Dijkstra,205361363,0.0319739
Dijkstra,205925575,0.2977989
Dijkstra,206341689,0.1777486
Dijkstra,206903489,0.2951364
Dijkstra,207051637,0.0714722
Dijkstra,207327233,0.125719
Dijkstra,207891725,0.2518314
Dijkstra,208182243,0.1284632
Dijkstra,208732555,0.2570256
Dijkstra,209123425,0.1697271
Dijkstra,209385562,0.1104561
Dijkstra,209825544,0.1979516
Dijkstra,210274143,0.195724
Dijkstra,210782253,0.2348506
Dijkstra,210864851,0.0382477
Dijkstra,211170707,0.1289376
Dijkstra,211317103,0.0708572
Dijkstra,211411234,0.042221
Dijkstra,211878302,0.2018521
Dijkstra,212144322,0.108969
Dijkstra,212257412,0.0505872
Dijkstra,212663865,0.1723908
Dijkstra,212850520,0.0821613
Dijkstra,212905781,0.0207611
Dijkstra,213402047,0.2186796
Dijkstra,213640976,0.1156987
Dijkstra,214029212,0.1616138
Dijkstra,214540796,0.2217757
Dijkstra,214988309,0.2245225
Dijkstra,215435200,0.1893535
Dijkstra,215588051,0.0647823
Dijkstra,215700488,0.0530538
Dijkstra,216018197,0.1452862
Dijkstra,216483086,0.1953722
Dijkstra,216714501,0.0895489
Dijkstra,217035421,0.1262611
Dijkstra,217209072,0.0748616
Dijkstra,217342879,0.0548024
Dijkstra,217357506,0.005716
Dijkstra,217411997,0.0218324
Dijkstra,217950090,0.2616323
Dijkstra,218117007,0.0930149
Dijkstra,218487425,0.1601648
Dijkstra,218740942,0.1067949
Dijkstra,219056044,0.138773
Dijkstra,219109446,0.0224178
Dijkstra,219154527,0.0176712
Dijkstra,219363662,0.1006946
Dijkstra,219620681,0.1147563
Dijkstra,219756347,0.0634124
Dijkstra,219792961,0.0161601
Dijkstra,220131171,0.1380933
Dijkstra,220624068,0.2323062
Dijkstra,220902595,0.110438
Dijkstra,221165994,0.1001059
Dijkstra,221264317,0.0409071
Dijkstra,221711382,0.1906486
Dijkstra,222006257,0.1264017
Dijkstra,222529807,0.2228295
Dijkstra,222982961,0.2009646
Dijkstra,223057773,0.0301494
Dijkstra,223195376,0.0578943
Dijkstra,223627086,0.181618
Dijkstra,223907474,0.1232686
Dijkstra,224463333,0.2516132
Dijkstra,224644899,0.0921612
Dijkstra,225200984,0.24949
Dijkstra,225307402,0.0516919
Dijkstra,225873028,0.2518006
Dijkstra,226202737,0.1604831
Dijkstra,226590909,0.1777319
Dijkstra,226997995,0.1796316
Dijkstra,227197015,0.0869201
Dijkstra,227487198,0.1634181
Dijkstra,227577826,0.0387909
Dijkstra,227706951,0.0562513
Dijkstra,228097087,0.1743059
Dijkstra,228534570,0.1839259
Dijkstra,228653393,0.0509691
Dijkstra,228684302,0.0113557
Dijkstra,229186848,0.258654
Dijkstra,229485618,0.1568693
Dijkstra,229743646,0.1054505
Dijkstra,229823789,0.0531943
Dijkstra,230248998,0.2117715
Dijkstra,230446691,0.0888948
Dijkstra,230468337,0.0081335
Dijkstra,230966221,0.1993621
Dijkstra,231458252,0.2175842
Dijkstra,231602479,0.0583042
Dijkstra,231780060,0.0764588
Dijkstra,232085355,0.1404413
Dijkstra,232110586,0.0095439
Dijkstra,232130591,0.0077472
Dijkstra,232160705,0.0108198
Dijkstra,232517953,0.1618737
Dijkstra,232999489,0.2082339
Dijkstra,233149828,0.0649916
Dijkstra,233467442,0.1437694
Dijkstra,233856963,0.1710419
Dijkstra,234355768,0.2185798
Dijkstra,234913205,0.268727
Dijkstra,234998567,0.0395583
Dijkstra,235537883,0.2268911
Dijkstra,235772821,0.0902206
Dijkstra,235953990,0.0845044
Dijkstra,236139170,0.0821794
Dijkstra,236465814,0.1330168
Dijkstra,236540839,0.0312792
Dijkstra,236867213,0.1524772
Dijkstra,236996819,0.0676815
Dijkstra,237189495,0.0983742
Dijkstra,237652599,0.197607
Dijkstra,237968726,0.1516275
Dijkstra,238107182,0.0663157
Dijkstra,238473144,0.1666782
Dijkstra,238676287,0.0929794
Dijkstra,238728610,0.0268903
Dijkstra,239113103,0.2059641
Dijkstra,239539828,0.3178523
Dijkstra,239555266,0.0074813
Dijkstra,239999578,0.2936744
